type,role,sendMsgFile,handshake1_len,handshake2_len,c2sCipher,c2sPlain,s2cCipher,s2cPlain,handshakeCPUTime,commCPUTime
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127888208,17648998
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,132439264,11314551
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,139536601,15720485
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,121686982,7291847
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125530856,14098915
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124780096,7786878
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129141830,14178115
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127449219,11596561
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,135275407,18246718
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,122035733,6696167
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125751326,13586504
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123768344,8453579
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129215720,14022824
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,142140993,6769567
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,145558136,17309398
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129217550,10798912
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,136625698,14306384
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,131921353,6900557
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,135893896,13945205
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129415270,7001127
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,132934593,17694769
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129790990,7275237
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,133436324,17249377
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,117814598,8129958
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,121273112,15689066
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,118767859,6939277
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,122240072,17699668
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,117740048,6547077
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120957612,14131544
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,140455622,10623431
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,147421729,14922865
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124449235,8783538
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129961590,14206625
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,133206754,7940788
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,136373477,27840997
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,134487895,14531065
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,144866576,14445404
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,132730003,8431439
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,138084778,14757535
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,119621711,8367708
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124958856,14403395
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,175593197,15199865
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,186709998,14895225
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,119866611,6948517
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123723704,14319005
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,149784990,7095938
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,153032803,18718989
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,140061221,8611478
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,145067896,19186019
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,122828633,6844687
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125949507,15680706
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,128386529,6873847
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,132221253,14526405
