type,role,sendMsgFile,handshake1_len,handshake2_len,handshake3_len,c2sCipher,c2sPlain,s2cCipher,s2cPlain,handshakeCPUTime,commCPUTime
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,120740542,23528844
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,122107074,36950487
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,118859530,22537383
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,120428472,35160485
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,105800937,31407802
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,117029768,32411593
ukey2,server,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,125082416,19953650
ukey2,client,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,121388482,35792096
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,115425586,25628966
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,118221269,35275126
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,128371129,26287087
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,129451901,38094068
ukey2,server,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,115071656,21173421
ukey2,client,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,117007588,34036364
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,109088730,14176074
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,93783814,40955611
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,110483581,20729801
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,111536132,32728123
ukey2,server,resources/plain.1KB.txt,136,116,78,1110,1024,1110,1024,115296096,22522583
ukey2,client,resources/plain.1KB.txt,136,116,78,1110,1024,1110,1024,116729278,35932846
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,120716921,32204713
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,131770412,33121414
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,131453793,14287784
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,115009056,46249076
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,121656273,15139655
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,108477170,40121590
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,127602238,21468532
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,117329628,46873567
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,113671964,17294717
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,110738381,31975982
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,108930430,20234240
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,110583352,30717371
ukey2,server,resources/plain.1KB.txt,136,116,78,1110,1024,1110,1024,126902657,20309241
ukey2,client,resources/plain.1KB.txt,136,116,78,1110,1024,1110,1024,127619098,36941587
ukey2,server,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,112831693,21356482
ukey2,client,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,116002737,31508891
ukey2,server,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,115456086,21737382
ukey2,client,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,116933667,33603355
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,148524759,31147261
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,129197209,67449308
ukey2,server,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,119303409,18311559
ukey2,client,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,109602740,40853420
ukey2,server,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,121273202,16840097
ukey2,client,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,106121637,53583754
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,118215249,17998838
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,115098426,38437628
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,126549827,21268101
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,122820574,40413380
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,121490662,17644288
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,118546529,32837453
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,109492000,21765842
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,112092403,33785484
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,105630596,36593048
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,116804788,40523621
ukey2,server,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,114907616,24663015
ukey2,client,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,116034747,35822856
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,98240519,29920390
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,108010698,32974453
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,114424645,21314031
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,112986033,34830656
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,113494144,21960152
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,115212986,33737804
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,109780581,19832970
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,110750312,34521335
ukey2,server,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,109513700,17606808
ukey2,client,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,107265878,35540285
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,100142321,30214981
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,111651473,30557580
ukey2,server,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,118728979,26782957
ukey2,client,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,120582841,37447548
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,117469888,25298405
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,119515030,35648965
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,113079764,18982329
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,102294653,42243883
ukey2,server,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,135608227,21380161
ukey2,client,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,139497750,33465053
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,114861156,22761192
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,116686637,36820167
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,126065596,18215889
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,122470343,36806667
ukey2,server,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,115129217,22948252
ukey2,client,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,116553157,36339827
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,120032931,17381987
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,117014288,31960872
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,112485593,22174822
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,113959574,32708343
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,115972516,16929007
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,112864523,34946185
ukey2,server,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,115357456,23120684
ukey2,client,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,117215448,41204541
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,100061571,29372200
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,99988451,41065121
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,114393225,17699867
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,111642942,35211965
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,110643451,20387680
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,113045354,29747139
ukey2,server,resources/plain.1KB.txt,136,116,78,1110,1024,1110,1024,124226775,20531041
ukey2,client,resources/plain.1KB.txt,136,116,78,1110,1024,1110,1024,125408666,30833261
ukey2,server,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,119983461,24956635
ukey2,client,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,121623372,36410117
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,115750757,30811721
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,125969777,32666113
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,111928143,22432163
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,110970262,34648435
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,124742066,22722903
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,126376348,33459203
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,110065551,21094681
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,112927493,30716392
ukey2,server,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,112549224,25432035
ukey2,client,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,114660466,37732658
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,112768543,20219141
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,115386256,32412083
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,105495176,30170051
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,114876716,32573002
